stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,pgc,pronephros,spinal.cord
  5-6,6.13,30.65,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,1,0,6,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,1.61,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,1.15
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0.77,0,0,0,0,0.77,0,0.77,0,0
