stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0
  5-6,12.26,539.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,171.63,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,63.09,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.26,26.29,0,0,294.42,10.51,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,103.85,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,12,0,13,7,0,0,0,1,7,0,2,0,1,3,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,1.64,0,0,0,0,1.64,0,1.64,0,0,12.31,0,2.46,5.75,0,0.82,0,0,3.28,0,0,0.82,9.85,0.82,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0.81,0.81,0,0.81,3.22,0,0,9.67,0.81,0,0,0,0,0,0,0,23.36,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,1.72,0.57,0,0.57,0,0,0.57,6.89,0,2.3,0,0,3.44,0,0.57,7.46,0,0,0,0,0.57,0,0,0,31.56,1.15,0,1.15,0.57
 60-70,0,0,0,0,4.91,0,1.96,0.98,0,0,0,0,0,17.67,0.98,0,0,0,1.96,0,0.98,1.96,0,0,0,0.98,0.98,0,0,0.98,13.74,0,0.98,1.96,0.98
 72-82,0,0,0,0,0,0,8.83,1.96,0,0.98,0.98,0.98,0,23.56,0.98,0,0,0,0.98,0,0.98,6.87,0,0,0,0,0,0,0,0,18.65,1.96,0,1.96,0
 84-94,0,0,0,0,1.06,0,7.43,8.5,0,0,3.19,0,0,54.16,1.06,0,1.06,3.19,1.06,0,0,8.5,0,0,0,0,0,0,0,3.19,35.05,1.06,0,3.19,0
 96-106,0,0,1.09,0,2.19,1.09,5.46,9.84,0,1.09,0,1.09,0,38.25,2.19,1.09,1.09,0,5.46,0,1.09,9.84,0,0,3.28,0,2.19,0,0,1.09,42.62,0,0,2.19,1.09
108-118,0,0,0,0,0,0,7.66,15.32,0,0,3.06,0,0,48.26,3.83,0.77,0,3.83,3.06,0.77,1.53,5.36,0,0,0,0,1.53,0,0,0,36.77,0,0,2.3,0
120,0,0,0,0,1.96,0,5.88,11.76,0,0,0,0,0,27.44,0,0,0,0,9.8,0,0,7.84,0,0,0,0,0,0,1.96,0,17.64,0,0,0,0
