stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,36,2,1,0,4,0,1,0,5,0,5,15,0,0,1,0,0
 24-34,0,0.82,0.82,3.28,9.85,0,9.03,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,16.42,0,0.82,8.21,87.01,2.46,2.46,2.46,0,0,8.21,0,0,0,2.46,22.98,0,0,4.93,0,1.64
 36-46,0,0,0,0,2.42,0,3.22,0,0,4.03,0,0,0,0.81,0,0,0,0,0,6.45,0,0,2.42,25.78,0.81,0.81,0.81,0,0,5.64,0,0,0.81,0,5.64,0,0,0.81,0,1.61
 48-58,0,0,0,0,2.87,0,5.16,0,1.15,6.31,0,0,0,0,0,0,0.57,0.57,0,16.64,0,0.57,3.44,45.33,0.57,1.72,0.57,0,0.57,2.3,0,0,0,0,10.33,0,0,2.3,0,1.72
 60-70,0.98,0,0,0,1.96,0,4.91,0,0.98,13.74,0,0,0,0,0,0.98,0.98,0,0,24.54,0,0,7.85,50.06,0.98,1.96,0.98,0,0,3.93,0,0,0.98,0,8.83,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,4.91,0,14.72,0,1.96,35.34,0.98,0.98,0,0.98,0.98,0,0.98,0,0,37.3,0,2.94,3.93,57.92,0,7.85,2.94,0,0,1.96,0,0,0.98,0,10.8,3.93,1.96,7.85,1.96,1.96
 84-94,0,0,0,0,3.19,1.06,13.81,1.06,6.37,15.93,2.12,0,1.06,0,0,0,0,1.06,0,24.43,0,1.06,0,41.42,1.06,5.31,3.19,0,0,19.12,0,0,0,0,7.43,1.06,0,4.25,2.12,0
 96-106,0,0,1.09,0,1.09,1.09,15.3,2.19,2.19,16.39,2.19,0,0,1.09,0,1.09,2.19,0,0,28.41,0,2.19,3.28,29.51,1.09,10.93,2.19,0,0,10.93,1.09,0,0,0,1.09,1.09,1.09,6.56,1.09,0
108-118,0,0,0,0,7.66,0,13.79,0.77,1.53,17.62,0.77,0,0,0,0,0.77,2.3,0,1.53,22.21,0.77,2.3,2.3,55.15,0.77,6.13,1.53,0,1.53,6.13,0,0,0,0,6.13,0,0.77,2.3,0.77,0
120,0,0,1.96,0,3.92,1.96,13.72,0,1.96,23.52,0,0,0,0,0,1.96,1.96,0,0,25.48,1.96,0,0,78.39,0,7.84,5.88,0,0,3.92,0,0,0,0,5.88,0,3.92,7.84,0,0
