stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,7.39,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,8.03,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,1.06,0,55.23,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,24.04,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0.77,0,0,0,0.77,0,0,0,0,99.58,0,0.77,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,25.48,1.96,0,0,0,0,0,0,0,0
