stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,3,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,2.46,0,0,2.46,0,0,0,0,0,0,0,0,0,0,53.36,0,26.27,0,0,0,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,8.06,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,101.51,0,27.39,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,17.79,0,0,6.89,0,0,1.15,0,0.57,0,0,1.72,0,0.57,135.42,0,21.23,1.15,0,0.57,0,0,8.03,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,47.11,0,0.98,4.91,0,0,0,0,0.98,0,0,2.94,0,0,154.1,0,21.59,0,0,0,0.98,0,5.89,0,0,0,0,0
 72-82,0,0,8.83,0,0,1.96,132.52,1.96,0,13.74,2.94,0.98,0,0,1.96,1.96,0.98,12.76,0.98,0,206.15,0,29.45,1.96,0,0,0,0,10.8,0,0.98,0,3.93,0
 84-94,0,0,6.37,0,5.31,1.06,87.09,0,1.06,15.93,1.06,0,7.43,0,3.19,7.43,0,5.31,1.06,0,143.38,0,29.74,2.12,0,0,1.06,0,6.37,0,0,0,2.12,0
 96-106,0,0,13.11,0,0,2.19,59.01,0,0,9.84,3.28,0,12.02,1.09,6.56,9.84,0,10.93,0,0,136.61,0,33.88,7.65,0,0,0,0,7.65,0,0,0,3.28,3.28
108-118,0,0,5.36,0.77,1.53,0,70.47,0.77,0,14.55,0,0,3.83,0,7.66,5.36,0,2.3,0,0.77,191.49,0,24.51,6.89,0,0,3.06,0,3.83,0.77,0,0.77,0,0
120,0,0,0,0,5.88,1.96,48.99,0,0,5.88,0,0,9.8,0,7.84,0,0,5.88,3.92,0,219.5,0,21.56,3.92,0,0,0,0,5.88,0,0,0,0,0
