stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,21,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0.82,0,3.28,0,0,1.64,61.56,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0,228.81,0,3.22,0,0,0,0,0,0,0,46.73,0,0,0,0,0
 48-58,0,0.57,0,0,0,19.51,0,0,2.3,0,0,0,0,0.57,0,0,0,2.87,0,0.57,0.57,277.15,0,4.02,0.57,0,0,1.72,0,0,0,57.95,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,93.24,0,0,4.91,0,0,0,0,0,0,0,0,6.87,0,0,0,430.89,0,1.96,0,0,0,0,0,0,0,50.06,0,0,0.98,0,0
 72-82,0,0.98,1.96,0,0,93.26,0,1.96,7.85,1.96,0,1.96,0,1.96,0,0,0,6.87,1.96,0,0.98,277.81,0.98,0.98,0.98,0,1.96,0,0,0,0,27.49,0,0.98,0,0,0.98
 84-94,0,1.06,1.06,0,0,57.35,0,1.06,7.43,1.06,0,0,0,1.06,0,0,0,9.56,0,1.06,1.06,142.31,0,2.12,4.25,0,0,0,0,0,1.06,18.05,0,0,2.12,0,0
 96-106,0,1.09,4.37,2.19,0,50.27,0,0,7.65,0,2.19,1.09,1.09,1.09,0,2.19,0,9.84,1.09,1.09,0,107.1,0,4.37,1.09,0,0,0,1.09,0,0,4.37,0,2.19,2.19,0,0
108-118,0,0.77,3.83,0,0,33.7,0.77,0,6.13,1.53,0,0.77,0,0,0.77,0,0.77,5.36,0,0,0.77,138.64,0,3.06,2.3,0,0.77,0,0,0,0,1.53,0.77,0,0.77,1.53,0
120,0,0,1.96,3.92,1.96,23.52,0,0,3.92,0,0,0,0,1.96,0,0,0,7.84,0,1.96,0,137.18,0,1.96,1.96,0,1.96,1.96,0,0,0,3.92,0,0,1.96,0,0
