stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,79.07,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0
  5-6,6.13,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,85.81,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,34.17,0,0,5.26,23.66,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,0,32,0,0,1,1,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,2.46,0,0,0,3.28,0,0.82,6.57,0.82,0,0,0.82,0,0,9.85,8.21,0.82,0,82.91,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,4.03,0,0,0.81,0,0,0.81,0,1.61,0,1.61,0,0,0,1.61,0,0,12.89,2.42,3.22,0,87.01,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,4.59,0,0,1.72,0,0.57,1.72,0,10.9,0,1.15,1.72,0,2.3,0,0,0,5.16,4.59,1.72,0,44.76,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,4.91,0,0,0.98,0.98,0,0.98,1.96,5.89,0,0,1.96,0,0.98,0,0,0,4.91,2.94,1.96,0,59.87,0,0,0,0.98,0,0,0.98
 72-82,0,0,1.96,0,7.85,0,0,4.91,0,0,0,6.87,5.89,0,4.91,5.89,0.98,0,3.93,0,0,5.89,7.85,3.93,0,67.73,0,0.98,0,0,0,0,0
 84-94,0,0,2.12,1.06,16.99,0,0,2.12,8.5,0,0,27.61,8.5,0,14.87,7.43,1.06,0,2.12,0,1.06,4.25,7.43,3.19,0,178.42,0,0,0,1.06,3.19,1.06,0
 96-106,0,0,3.28,1.09,25.14,0,0,4.37,2.19,0,1.09,37.16,1.09,0,13.11,8.74,2.19,2.19,2.19,0,0,8.74,9.84,5.46,0,130.05,0,0,0,0,7.65,0,0
108-118,0,0,3.06,1.53,27.57,0.77,0,7.66,6.13,0,2.3,41.36,0,1.53,9.19,6.89,2.3,1.53,1.53,0.77,0.77,9.96,5.36,6.89,0,130.98,0,0.77,0,0.77,10.72,0,0
120,0,0,0,0,21.56,0,1.96,5.88,9.8,0,0,45.08,0,0,15.68,3.92,0,1.96,1.96,0,0,13.72,1.96,3.92,0,113.67,0,0,0,0,3.92,0,0
