stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,8.29,0,0,50.19,0,0,0,0,0,0,0,0,0,0
 10-12,9.19,10.88,0,4.95,0,0,0,0,0,0,15.28,0,0,0,0,0,0,0,0,0,420.58,85.32,0,0,3496.91,0,196.54,32.52,0,63.71,0,0,0,0,0
 14-21,0,4.72,58.5,3.78,0,2.06,0,0,0.97,0,3.75,0,396.1,0,0,4.33,0.89,42.32,0,576.6,90.11,25.29,0,0,13.33,7.48,3294.81,0,1.78,4645.22,30.99,0,0,1.22,0
 24-34,0,0,16.32,0,0,7.49,4.42,6.84,0.75,0.71,0,0,757.97,0,0,0.77,224.31,73.15,0,906.28,113.52,4.65,2.19,0,0,2.87,21.04,0.6,0,320.34,53.32,0,0,0,0
 36-46,0,0,25.14,0,0,7.34,4.52,16.22,0,0,0.7,0,222.3,0,0,0,568.29,15.24,0,346.59,92.24,0,0,0,10.27,3.24,2.9,0,1.11,2.18,79.06,0,0,0,0
 48-58,0,0,38.34,0,0,8.82,3.13,40.69,2.12,2.45,3.07,0,142.17,0.39,0,0,440.4,26.39,0,237.07,65.94,0,1.31,2.96,0,0,0,0,0,0,107.46,0,0,0,12.46
 60-70,0,0,44.85,0.66,0,10.83,0.68,7.21,0,0,0,0,144.22,0,0,0,348.13,20.55,0,159.11,58.08,0,0.62,0,0,3.41,0,0,0,0,69.19,12.04,0,0,0
 72-82,0,0,83.84,3.1,0,22.63,4.29,21.54,4.25,5.89,0.6,0,293.71,0,0,0,394.4,14.26,0,210.94,82.63,0,1.45,0,0,1.16,0,0,0,0,66,45.01,1.74,0,0
 84-94,0,0,165.5,0,0,30.33,2.18,11.99,0,15,0,4.19,408.59,0,0,0,444.93,22.66,0,136.35,43.72,0,7,0,0,2.68,0,0,0,0,43.97,77.55,0.77,0,0
 96-106,0,0,224.35,4.87,1.93,16.98,1.57,0,5.22,28.38,0,0,517.64,0,6.75,8.69,281.68,19.88,1.71,122.06,53.15,0.62,5.89,0,0,9.79,0,1.65,0,0,9.25,85.5,0,0,0
108-118,0,0,129.59,0.48,1.26,10.31,2.69,13.22,4.44,9.97,0,3.27,400.59,0,4.14,0,246.02,24.03,0,121.86,56.7,0.68,10.7,0.44,0,7.87,0,1.06,0,0,8.57,53.28,0,0,0
120,0,0,175.81,0,0,19.4,0,0,0,6.81,0,0,307.17,1.58,3.95,0,209.23,10.35,0,133.13,48.42,0,3.86,0,0,1.2,0,0,0,0,0,30.01,0,0,0
