stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.92,5.88,0,0,0,0,28.86,0,0,0,0,0
 24-34,3.03,2.11,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,559.06,42.22,0.64,1.06,0,0,200.71,0,0,0,0,0
 36-46,2.14,0.64,0,86.04,0,0,0,14.52,0,0,0,0,0,0,0,0,0.71,0,0,1.47,1819.61,50.95,1.22,0.95,0,0,487.24,0,0,0,0,0.67
 48-58,0.84,10.1,0,231.16,0,0,1.77,33.68,0,0,0,0,0,0,0,9.49,5.75,0,0,2.47,1884.39,25.26,0.7,0,0.73,0.46,388.22,0,0,0,0,4.84
 60-70,0,7.58,0,770.11,0.73,6.73,0.98,23.86,0,0,0,0,0,0,0,0,25.67,0,0.62,1.26,3152.31,26.85,0,0.63,0,0,427.4,0,0.71,0,0,0
 72-82,1.14,2.34,5.72,869.25,0,0,0,23.66,0,0,0.65,0,0.59,0,0,0,14.39,0,0.51,1.23,2481.31,29.03,0,3.61,0.64,0,205.19,12.15,0,4.73,0.91,4.41
 84-94,3.02,14.47,0,633.45,0,0.56,1.21,39.63,0,0.7,0,0,2.52,0.69,1.84,0,13.87,0,1.95,0,1704.12,45.21,1.54,2.23,0,0,165.84,14.93,1.91,9.14,1.59,6.95
 96-106,1.07,6.21,9.76,467.32,0,0,0,21.79,0,0.73,0,0,2.22,0,1.69,0,17.92,0,0,0,1233.81,33.18,0.62,6.27,0,0,48.52,8.5,1.53,0,2.24,18.79
108-118,0,9.86,0,452.11,0,0,0,22.54,3.46,0,1.99,1.45,0,0,0,2.88,12.46,5.97,0.94,0,1433.03,23.36,0.63,0,0,0,57.3,8.89,0,0,0.82,1.27
120,0,12.97,13.51,378.02,0,0,0,37.41,0,4.89,2.03,0,0,0,1.58,0,9.99,0,0,0,1907.51,7.84,0,0,0,0,88.83,7.52,0,1.23,0,0
