stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,92.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0
  7-9,0,0,0,5.24,0,0,0,0,0,0,0,0,0,23.07,0,0,7.82,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,15.42,0,0,4.45,0,10.77,0,0,0
 14-21,0,17.47,1.67,0,0,0,0,0,0,0,0,0,0.91,8.05,0,0.94,0,1.04,0,1.04,6.11,0
 24-34,0,4.75,0,0,2.83,0,0,0,0,0,0,0,0,54.98,0,0,0,0.88,0,0,9.94,0
 36-46,0,2.66,0,5.56,1.94,0,9.16,0,0,0,0,0,0.71,174.99,0,0,0,13.66,0,0,16.64,0
 48-58,0,1.53,0,20.31,0.84,0.68,19.26,0,0.55,0,0,0,2.89,194.76,0,0,0,2.87,0,0,20.12,0
 60-70,0,4.69,0,21.53,2.33,0,10.78,0,0,0,0,0,0.78,159.57,0,0,0,1.44,0,0,37.8,0
 72-82,0,2,0,16.79,0,0,5.12,0,0,0,0,0,2.39,175.93,0,2.02,0,0,0,0,14.72,0.5
 84-94,0,3.85,0,25.23,1.34,1.59,0.6,0,0,1.79,0,0,0,111.86,0,2.05,0,6.9,0,0,11.58,0.55
 96-106,0,7.69,0,23.79,0,0,10.92,0,1,0.73,0,0,0.94,130.7,1.94,0.76,0,2.03,0,0,0,0.61
108-118,0,18,0,28.94,0.54,0,3.9,0,0,1.62,0.72,0,4.13,118.33,0,0.88,0,5.02,0,0,1.82,0.42
120,0,0,0,22.28,2.19,0,12.84,2.59,0,1.72,0,1.77,2.58,167.35,0,5.18,0,0,9.58,0,4.48,0
