stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,25.45,0,0.88,19,0,0,4.33,0,0,0,4.13,0.82,0,0.92,0,0.82,0,0,0,0,23.23,0,0,8.61,120.29,42551.73,2.02,4.93,0.94,0,0,0,15.11,0.82,0.8,23.73,222.1,0,0,0,0,0
 24-34,17.33,0.84,1.8,84.26,11.02,0,118.24,0.95,7.65,3.1,22.92,0,0,6.7,2.68,26.2,0.7,3.44,16.39,7.88,144.08,4.17,2.12,99.75,2347.2,109476.44,29.89,16.25,0,0,157.64,0,0,5.67,24.37,24.23,406.2,0,0,156.7,0,22.81
 36-46,2.14,0,0.72,57.61,1.31,0,194.65,43.09,5.03,4.76,43.89,0.62,1.09,6.93,20.45,4.38,1.11,2.61,41.46,41.09,106.37,1.01,9.15,43.2,1403.43,109863.64,10.65,17.67,0,0.97,167.91,0,0,21.71,3.4,0,444.12,0,0,64.04,0,35.88
 48-58,58.97,0,0,92.4,15.03,0,547.1,2.6,7.69,12.45,115.2,2.65,0.37,2.29,29.9,0.92,2.65,1.68,14.85,14.62,230.57,5.05,2.57,39.09,1586.01,119299.32,7.1,10.61,0,0.59,63.51,0,0,0,19.82,0,332.91,0,0.49,23.53,0,81.96
 60-70,461.99,0,5.18,188.58,14.2,0,453.83,0,12.19,8.18,42.54,4.49,0,0.95,1.24,0.86,0,1.94,3.29,9.3,238.66,0,3.54,13.79,798.94,70701.25,4.21,2.15,0,1.65,44.39,0,0,3.4,1.01,0,128.89,0,4.62,6.17,1.52,47.15
 72-82,0,1.38,0,113.69,17.04,0,279.57,0,12.9,8.94,64.29,7.31,40.7,1.41,4.67,0,2.24,3.97,10.22,1.8,208.73,1.59,0.67,16.87,568.47,32797.63,10.94,0,0,0,37.55,0,0,8.39,0,0,46.56,14.93,10.2,12.33,32.56,41.95
 84-94,68.31,0.73,0,212.93,23.04,0,394.03,4.89,8.77,1.88,71.56,12.27,0,0,8.77,2.02,0,1.39,2.72,12.37,193.05,2.05,5.72,5,316.81,55056.27,0.97,0.95,0,3.75,43.2,0,0,0,0,0,42.73,5.5,25.38,20.75,25.11,18.73
 96-106,180.32,1.11,1.03,207.72,140.35,4.08,332.12,50.48,49.37,2.28,115.45,23.85,0,3.34,20.44,3.86,10.62,1.55,43.71,1.23,186.38,17.56,6.88,10.32,531.74,30512.17,10,7.62,0,5.31,160.09,0,0,0,0,0,15.53,10.69,12.37,47.75,38.29,31.57
108-118,200.69,0,0,224.72,52.4,14.67,419.34,7.74,18.96,11.71,118.21,108.25,0,11.28,0.96,4.03,1.1,2.24,44.7,5.81,320.33,1.41,17.05,14.18,919.41,39165.65,12.64,16.34,0,16.4,78.32,0.42,0,0.78,1.36,0,33.16,4.12,36.37,21.09,11.6,19.3
120,446.64,0,0,294.8,33.44,10.58,293,5.69,17.63,12.19,125.35,50.56,57.23,4.21,5.35,0,10.67,9.18,27.74,0,273.93,0,0,71.18,1004.6,57489.31,8.55,30.65,0,0,31.24,0,0,0,9.87,0,54.2,15.69,6.76,19.8,28.35,29.2
