stage,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,vasculature
 10-12,0,0,0,0,0,0,0,0,14.21,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.29,0
 24-34,1.05,0,0,0,0,0,0,3.57,0,3.71,0
 36-46,0,1.38,0,0,0,0,0,7.06,0,10.55,0
 48-58,2.8,0,0,0,0,0,0,0,0,3.84,0
 60-70,0,9.2,0,0,0,0,0,2.34,0,10.27,0
 72-82,6.85,0,0,0,0,0.61,0,7.16,0,0.58,0
 84-94,0.79,10.6,0,0.78,0,2.39,0,0,0,15.28,0
 96-106,1.98,0,2.64,0,1.14,0,1.41,0,0,11.46,1.42
108-118,6.86,0,0,0,0,0,0,0,0,16.61,0
120,0,0,0,0,0,8.38,0,3.21,0,44.4,0
