stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,gut,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,23.21,794.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.19,0,0,0,0,0,0,0
  5-6,21.84,1209.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0
  7-9,5.53,6.22,0,3.34,0,0,22.73,0,0,0,0,0,0,0,138.76,5.55,0,28.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,39.28,0,0,0,0
 14-21,0,0,0,1.51,30.34,6.01,0,0.83,0,0,24.11,0,0,8.59,0.97,0,0,1.03,0,6.14,0.91,3.37,0,5.43,18.02,0,0.96
 24-34,0,0,0.65,1.19,22.1,1.18,0,1.41,0.92,0,29.72,0.66,0,8.8,8.98,0,0,0,0,0,0,0,0,0,0,4.97,0
 36-46,0,0,0,1.3,1.17,0,0,0,0.56,0,10.47,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,7.32,0
 48-58,0,0,0,0,0,0,0,0,0.64,0,0.53,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.14,0,1.01,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.14,0,0,0,0,0,0,3.03,0,0,0,0,2.12,0,1.38,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.62,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.64,0,4.45,0,0,4.66,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0
