stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,113.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0
  5-6,38.19,364.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.86,3.45,0,0,7.68,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,121.11,13.13,0,0,74.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.31,15.66,0,0,79.84,0,0,20.27,0,0,4.47,0,0,0,0,0
 14-21,0,0,0.9,6.05,2.74,2.28,0,0,0,0.84,0,0,0,0.9,0,0,0,0,12.62,0,0,4.04,79.48,2.69,0,0.86,0,0,19.62,1.04,0,7.43,20.48,0,0,0,0,0.84
 24-34,0,0,0,3.57,0.6,12.31,0,1.04,0,5.07,0,0,0,0,0,1.2,0,0,19.9,0,0.91,4.34,116.5,0.66,1.58,2.01,0,8.42,0,0,0.91,2.5,27.31,0,0,2.14,0,0
 36-46,0,0,0,5.14,0,18.57,0,0,0,18.88,0,0,1.93,0,0,0,0,0,17.78,0,0.72,2.5,116.25,0,0.98,0,0,2.62,0,4.62,0,1.18,16.7,0,0,0,0,0
 48-58,0,0,0,3.92,0,12.28,0,0,0,4.32,0.97,0,0,0,0,0,0,0,10.83,0,0.47,2.33,40.23,0,1.22,2.83,0,1.07,0,0,0,0,8.89,0,0,0.52,0,0
 60-70,0,0,0,2.79,0,14.41,1.23,1.03,9.26,9.15,1.27,0,0,0,0,0,0,0,25.63,0,0.89,2.24,27.23,2.62,0,0,0,4.8,0,0,0,0,0.93,0,0,6.54,0,4.89
 72-82,0,0,0,0,0,6.31,0,0,1.18,4.44,0,0,0,0,0,0,0.88,0,15.31,0,0,0.51,7.1,0,0,0,0,0,0,0,0,0,4.07,1.43,0,0.66,0,0
 84-94,0,0,0,2.08,0,8.19,0,0.57,0,4.94,0.68,0,1.23,1.17,0.87,0,0,0,15.06,0,3.36,3.28,12.44,0,0,0,0,12.86,0,0,0,0,5.36,0,0,0,0,0
 96-106,0,0,0,3.17,0,0.61,0,0,0,4.11,0,0,1.01,0.9,0,0,0.82,0,4.47,0,0.92,2.46,10.59,0,0,0,0,1.67,0,0,0,0,0,0,0.94,0.96,0,0
108-118,0,0,0,2.69,0,8.32,0,0.71,1.32,9.17,1.21,0,0,0,0,0.89,0,0.54,20.91,0,0.83,1.41,4.91,0,0,0,0,2.75,0,0,0.46,0,4.72,0,0,0.57,0,0
120,0,0,0,11.66,0,14.48,1.21,0,1.04,28.86,0,0,4.65,0,0,0,0,0,42.04,3.43,0,6.19,72.64,2.55,0,0,0,2.32,0,0,0,0,13.28,0,0,24.96,9.76,0
