stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,0,0,0,8,0,1,1,2,0,1,1,1,0
 24-34,0,0,0,1.64,0,0.82,0,0,0.82,0,0,3.28,0,2.46,17.24,0.82,0,0.82,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,2.42,0,0,21.75,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,7.46,0.57,0,2.3,0,0,3.44,0.57,0,28.69,0,0,0,0,0,0,6.89,0,1.72
 60-70,0,0,0,0,0,9.82,0,0,0,0,0,2.94,0,0,22.58,1.96,0,0.98,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,4.91,0,0,1.96,0.98,0.98,0.98,0,0,7.85,0.98,0,0,0,0,0,1.96,0,0.98
 84-94,0,1.06,0,0,0,4.25,0,0,3.19,0,0,2.12,0,1.06,9.56,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,1.09,0,0,0,4.37,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0,0,1.53,0,0,1.53,0,0,6.13,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,5.88,1.96,0,0,0,0,0,1.96,0,0
