stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,26.29,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,100.7,0,0,0,0,0,0,0
 14-21,0,0,3,19,17,291,0,3,0,0,0,4,10,0,6,1,0,0,0,0,1,103,0,0,102,79,2,3,8,1,0,0,1,29,2,2,71,0,78,0,1
 24-34,0,0.82,7.39,1.64,6.57,20.52,0,7.39,0,0.82,4.1,22.98,0,0,9.03,6.57,0,0,0,0,0,255.29,0.82,0,151.04,252.82,0.82,24.63,6.57,0,0,0,0.82,0.82,4.1,1.64,94.4,0,196.18,0,0
 36-46,0,0,3.22,0,2.42,2.42,0,41.09,0,0,5.64,16.11,0,0,9.67,1.61,0,0,0,0,0,205.45,0,0,109.57,303.74,0.81,20.95,0.81,0,0,1.61,0,0,1.61,0,55.59,0,121.66,0,0.81
 48-58,0,0,2.3,0,3.44,2.87,0,77.46,0.57,0,7.46,13.77,0,0,5.74,4.02,0,1.15,0.57,0,0,239.28,0,1.72,64.84,391.33,0,12.62,0,0,0,1.72,0,0,1.72,0,40.74,0.57,102.71,0,3.44
 60-70,0,0,1.96,0,1.96,3.93,0,80.48,0.98,0.98,5.89,27.48,0.98,0.98,3.93,9.82,0,0,0.98,0,0,260.1,0,3.93,32.39,717.49,0,13.74,0.98,0,4.91,1.96,0,0,0.98,0,56.93,4.91,75.58,0,0
 72-82,0,0,4.91,0,6.87,36.32,0,144.3,0.98,0,12.76,51.05,0.98,0.98,13.74,6.87,0,1.96,0,0.98,0,315.11,1.96,14.72,59.88,710.72,0.98,14.72,0.98,0,11.78,0.98,0,0,0,0,26.5,17.67,184.55,8.83,3.93
 84-94,0,0,3.19,0,5.31,22.3,0,99.83,1.06,1.06,6.37,32.92,1.06,0,6.37,18.05,1.06,8.5,2.12,0,0,198.6,0,14.87,47.79,374.9,0,10.62,1.06,0,4.25,1.06,0,0,0,0,22.3,15.93,123.2,4.25,3.19
 96-106,0,0,6.56,0,6.56,33.88,0,89.61,3.28,1.09,5.46,36.06,2.19,0,9.84,21.86,0,5.46,0,3.28,1.09,206.55,1.09,13.11,29.51,279.77,0,7.65,0,0,15.3,2.19,0,0,0,0,13.11,7.65,182.51,4.37,0
108-118,0,0,5.36,0,3.06,13.79,0.77,53.62,0.77,0.77,8.43,26.04,0,0,3.06,13.02,0,12.26,0,0.77,0.77,189.96,0,8.43,22.21,304.09,0,7.66,0.77,0,10.72,0.77,0,0.77,1.53,0,4.6,6.13,108,3.83,2.3
120,0,0,0,0,17.64,13.72,0,37.24,1.96,0,1.96,27.44,1.96,0,1.96,23.52,0,3.92,0,5.88,0,131.31,0,11.76,27.44,331.2,1.96,11.76,1.96,0,5.88,3.92,0,0,1.96,0,7.84,9.8,117.59,9.8,0
