stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.36,187.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,117.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.18,0,0,0,0,0,107.2,0,0,0,0,0,0,0,0,0,0,0,45.26,9.96,0,0,5.13,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,105.83,0,0,0,0,0,0,0,0,0,0,0,77.24,78.55,0,0,50.16,0,0,9.34,0,11.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,54.25,5.26,2.48,0,0,0,0,0.85,16.84,0,0,1.83,0,0,3.71,0,4.65,0,0,3.08,52.77,12.95,3.1,1.82,0.93,0,51.29,0,5.1,0.98,1.77,7.83,0,0,2.25,0,0
 24-34,0,0,0,0.84,38.01,0,3.21,0,0.69,0,1.72,0,0.93,2,3.14,0.59,0,0,0,0,16.6,7.49,0,15.64,114.42,0.77,38,9.37,0,0,28.69,0,1.58,1.32,2.94,15.71,0,0,5,0,0.63
 36-46,0,0,0,0,52.69,0,3.2,0,0.89,0,11.42,0.59,2.19,1.4,14.58,6.76,0,1.53,0,0,20.5,2.76,0,2.66,143.79,0,30.57,16.72,0,0,10.85,0,0,0,0,52.77,0,0,1.72,0,0
 48-58,0,0,0,0,15.73,0,26.81,0,7.84,0.86,23.36,0,0,0,12.32,0,0,0.45,0.48,0,25.93,7.04,0,4.24,224.92,0,11.03,3.53,0,0.47,10.01,0,0,0,0,62.3,0,0.89,4.47,0,0
 60-70,0,0,0.57,0,18.8,0,100.91,0,5.1,3.09,38.33,0,0,0,4.4,0,1.28,0,0,0,13.27,5.65,0,3.27,353.63,0,12.97,4.46,0,1.08,1.65,0,0,0.68,0,60.19,0,0,3.39,0,11.22
 72-82,0,0,2.56,0,9.37,0,153.17,0,4.5,3.53,36.44,1.95,0,0,6.54,4.73,0,2.02,0,0,42.44,8.31,1.54,3.71,405.9,0,19.77,13.26,0,1.2,5.72,0,0,0,0,50.36,0,1.02,1.27,1.09,0
 84-94,0,0,0,0,22.62,0,90.65,1.27,3.46,0.89,26.18,3.26,0,0,12.41,2.25,0,0,0,0,33.47,9.55,0,3.11,308.26,0,23.92,27.9,0,0,10.71,0,0,0,0,33.68,3,3.88,5.55,16.57,0
 96-106,0,0,1.41,0,19.46,5.46,93.55,0,1.82,0,19.42,5.83,0,2.78,12.33,1,0,3.39,0,1.15,52.04,6.49,2.34,4.37,256.54,0,20.36,10.79,0,1.57,21.57,0,0,0,0,12.61,2.02,1.65,1.43,6.44,0.79
108-118,0,0,3.31,0.61,18.96,0,73.25,0,1.6,0.84,31.25,7.04,0,0,20.14,0.65,0,5.41,0.51,0,53.94,3.69,0.62,0,282.3,0,22.83,12.58,0,6.85,14.22,0,0,0,0,9.45,0.86,0,11.12,1.16,2.44
120,1.12,0,0,0,23.77,0,200.29,0,0,0,39.58,4.76,0,0,29.49,1.48,0,0,0,0,55.94,1.05,13.09,0,767.27,0,42.03,32.57,0,8.63,8.55,0,0,0,0,17,2.39,0,4.28,25.66,8.45
